##NAMES=Magnesioferrite
##LOCALITY=Langban, Sweden
##RRUFFID=R060869
##CHEMISTRY=MgFe^3+^_2_O_4_
4.428147e+002, 1.685917e+003
4.447432e+002, 1.682247e+003
4.466717e+002, 1.683322e+003
4.486001e+002, 1.694371e+003
4.505286e+002, 1.718442e+003
4.524571e+002, 1.739714e+003
4.543855e+002, 1.755202e+003
4.563140e+002, 1.766249e+003
4.582425e+002, 1.775978e+003
4.601709e+002, 1.782970e+003
4.620994e+002, 1.790629e+003
4.640279e+002, 1.799502e+003
4.659563e+002, 1.809290e+003
4.678848e+002, 1.822497e+003
4.698133e+002, 1.839444e+003
4.717417e+002, 1.859272e+003
4.736702e+002, 1.882076e+003
4.755987e+002, 1.911392e+003
4.775271e+002, 1.937044e+003
4.794556e+002, 1.958156e+003
4.813841e+002, 1.974272e+003
4.833125e+002, 1.981019e+003
4.852410e+002, 1.971077e+003
4.871695e+002, 1.956813e+003
4.890979e+002, 1.942112e+003
4.910264e+002, 1.924678e+003
4.929549e+002, 1.914927e+003
4.948833e+002, 1.919671e+003
4.968118e+002, 1.931790e+003
4.987403e+002, 1.941343e+003
5.006687e+002, 1.944538e+003
5.025972e+002, 1.949308e+003
5.045257e+002, 1.955936e+003
5.064541e+002, 1.964551e+003
5.083826e+002, 1.979905e+003
5.103111e+002, 2.005051e+003
5.122395e+002, 2.034224e+003
5.141680e+002, 2.062072e+003
5.160964e+002, 2.084775e+003
5.180249e+002, 2.116201e+003
5.199534e+002, 2.167078e+003
5.218818e+002, 2.227327e+003
5.238103e+002, 2.273737e+003
5.257388e+002, 2.310288e+003
5.276672e+002, 2.331557e+003
5.295957e+002, 2.329775e+003
5.315242e+002, 2.305683e+003
5.334526e+002, 2.290685e+003
5.353811e+002, 2.291010e+003
5.373096e+002, 2.297768e+003
5.392380e+002, 2.305395e+003
5.411665e+002, 2.314164e+003
5.430950e+002, 2.320069e+003
5.450234e+002, 2.312033e+003
5.469519e+002, 2.300530e+003
5.488804e+002, 2.306620e+003
5.508088e+002, 2.350088e+003
5.527373e+002, 2.392936e+003
5.546658e+002, 2.423442e+003
5.565942e+002, 2.441089e+003
5.585227e+002, 2.468480e+003
5.604512e+002, 2.507554e+003
5.623796e+002, 2.556964e+003
5.643081e+002, 2.613873e+003
5.662366e+002, 2.676720e+003
5.681650e+002, 2.752607e+003
5.700935e+002, 2.841258e+003
5.720220e+002, 2.942421e+003
5.739504e+002, 3.054536e+003
5.758789e+002, 3.169659e+003
5.778074e+002, 3.306387e+003
5.797358e+002, 3.467921e+003
5.816643e+002, 3.653217e+003
5.835928e+002, 3.873241e+003
5.855213e+002, 4.138870e+003
5.874498e+002, 4.430949e+003
5.893782e+002, 4.742157e+003
5.913067e+002, 5.071071e+003
5.932352e+002, 5.427414e+003
5.951636e+002, 5.823042e+003
5.970921e+002, 6.242615e+003
5.990206e+002, 6.673795e+003
6.009490e+002, 7.146069e+003
6.028775e+002, 7.575913e+003
6.048060e+002, 7.964559e+003
6.067344e+002, 8.300406e+003
6.086629e+002, 8.555593e+003
6.105914e+002, 8.754684e+003
6.125198e+002, 8.850376e+003
6.144483e+002, 8.811372e+003
6.163768e+002, 8.641489e+003
6.183052e+002, 8.425167e+003
6.202337e+002, 8.168012e+003
6.221622e+002, 7.870045e+003
6.240906e+002, 7.517694e+003
6.260191e+002, 7.093445e+003
6.279476e+002, 6.674560e+003
6.298760e+002, 6.260320e+003
6.318045e+002, 5.864146e+003
6.337330e+002, 5.501091e+003
6.356614e+002, 5.174775e+003
6.375899e+002, 4.884366e+003
6.395184e+002, 4.627412e+003
6.414468e+002, 4.406326e+003
6.433753e+002, 4.219826e+003
6.453038e+002, 4.074376e+003
6.472322e+002, 3.950806e+003
6.491607e+002, 3.842948e+003
6.510892e+002, 3.748397e+003
6.530176e+002, 3.660487e+003
6.549461e+002, 3.573661e+003
6.568746e+002, 3.495585e+003
6.588030e+002, 3.434696e+003
6.607315e+002, 3.400789e+003
6.626600e+002, 3.363621e+003
6.645884e+002, 3.325970e+003
6.665169e+002, 3.284330e+003
6.684454e+002, 3.233352e+003
6.703738e+002, 3.165630e+003
6.723023e+002, 3.106311e+003
6.742308e+002, 3.062347e+003
6.761592e+002, 3.029715e+003
6.780877e+002, 2.995010e+003
6.800162e+002, 2.946805e+003
6.819446e+002, 2.906613e+003
6.838731e+002, 2.887812e+003
6.858016e+002, 2.884333e+003
6.877300e+002, 2.872128e+003
6.896585e+002, 2.842515e+003
6.915870e+002, 2.809675e+003
6.935154e+002, 2.779229e+003
6.954439e+002, 2.751394e+003
6.973724e+002, 2.726569e+003
6.993008e+002, 2.711865e+003
7.012293e+002, 2.695031e+003
7.031578e+002, 2.664991e+003
7.050862e+002, 2.619905e+003
7.070147e+002, 2.575087e+003
7.089432e+002, 2.534648e+003
7.108716e+002, 2.496283e+003
7.128001e+002, 2.457275e+003
7.147286e+002, 2.418262e+003
7.166570e+002, 2.378991e+003
7.185855e+002, 2.338346e+003
7.205140e+002, 2.298008e+003
7.224424e+002, 2.260153e+003
7.243709e+002, 2.223215e+003
7.262994e+002, 2.191526e+003
7.282278e+002, 2.167578e+003
7.301563e+002, 2.150172e+003
7.320848e+002, 2.131999e+003
7.340132e+002, 2.109125e+003
7.359417e+002, 2.088632e+003
7.378702e+002, 2.075354e+003
7.397986e+002, 2.068365e+003
7.417271e+002, 2.056762e+003
7.436556e+002, 2.034186e+003
7.455840e+002, 2.013280e+003
7.475125e+002, 2.002019e+003
7.494410e+002, 2.003863e+003
7.513694e+002, 2.000357e+003
7.532979e+002, 1.985202e+003
7.552264e+002, 1.969068e+003
7.571548e+002, 1.961405e+003
7.590833e+002, 1.964271e+003
7.610118e+002, 1.963630e+003
7.629402e+002, 1.953408e+003
7.648687e+002, 1.940578e+003
7.667972e+002, 1.930873e+003
7.687256e+002, 1.923470e+003
7.706541e+002, 1.921365e+003
7.725826e+002, 1.930320e+003
7.745110e+002, 1.942679e+003
7.764395e+002, 1.945203e+003
7.783680e+002, 1.931545e+003
7.802964e+002, 1.921811e+003
7.822249e+002, 1.924677e+003
7.841534e+002, 1.933205e+003
7.860818e+002, 1.935878e+003
7.880103e+002, 1.928470e+003
7.899388e+002, 1.921980e+003
7.918672e+002, 1.918822e+003
7.937957e+002, 1.918751e+003
7.957242e+002, 1.920949e+003
7.976526e+002, 1.928248e+003
7.995811e+002, 1.934777e+003
8.015096e+002, 1.939118e+003
8.034380e+002, 1.941695e+003
8.053665e+002, 1.943374e+003
8.072950e+002, 1.943226e+003
8.092234e+002, 1.943310e+003
8.111519e+002, 1.944944e+003
8.130804e+002, 1.947799e+003
8.150089e+002, 1.947116e+003
8.169373e+002, 1.937796e+003
8.188658e+002, 1.929670e+003
8.207943e+002, 1.926231e+003
8.227227e+002, 1.927559e+003
8.246512e+002, 1.932755e+003
8.265797e+002, 1.945466e+003
8.285081e+002, 1.958625e+003
8.304366e+002, 1.970044e+003
8.323651e+002, 1.980113e+003
8.342935e+002, 1.986094e+003
8.362220e+002, 1.985176e+003
8.381505e+002, 1.982594e+003
8.400789e+002, 1.980224e+003
8.420074e+002, 1.977817e+003
8.439359e+002, 1.975817e+003
8.458643e+002, 1.969746e+003
8.477928e+002, 1.968318e+003
8.497213e+002, 1.979818e+003
8.516497e+002, 2.005201e+003
8.535782e+002, 2.022467e+003
8.555067e+002, 2.028340e+003
8.574351e+002, 2.025900e+003
8.593636e+002, 2.012143e+003
8.612921e+002, 1.979615e+003
8.632205e+002, 1.964559e+003
8.651490e+002, 1.982318e+003
8.670775e+002, 2.005107e+003
8.690059e+002, 2.012622e+003
8.709344e+002, 2.005009e+003
8.728629e+002, 2.002313e+003
8.747913e+002, 2.013130e+003
8.767198e+002, 2.026327e+003
8.786483e+002, 2.036183e+003
8.805767e+002, 2.043137e+003
8.825052e+002, 2.046360e+003
8.844337e+002, 2.039809e+003
8.863621e+002, 2.034818e+003
8.882906e+002, 2.043704e+003
8.902191e+002, 2.067088e+003
8.921475e+002, 2.078151e+003
8.940760e+002, 2.058049e+003
8.960045e+002, 2.037894e+003
8.979329e+002, 2.038220e+003
8.998614e+002, 2.062729e+003
9.017899e+002, 2.085301e+003
9.037183e+002, 2.106481e+003
9.056468e+002, 2.123281e+003
9.075753e+002, 2.132809e+003
9.095037e+002, 2.133320e+003
9.114322e+002, 2.133769e+003
