##NAMES=Magnesioferrite
##LOCALITY=Langban, Sweden
##RRUFFID=R060869
##CHEMISTRY=MgFe^3+^_2_O_4_
220.3569, 47.82986
220.8390, 42.71817
221.3211, 37.38235
221.8032, 33.51257
222.2853, 31.02780
222.7674, 30.28833
223.2496, 32.07059
223.7317, 37.81708
224.2138, 40.88333
224.6959, 41.16376
225.1780, 38.87000
225.6601, 33.66425
226.1423, 22.70865
226.6244, 13.87399
227.1065, 10.94467
227.5886, 17.09369
228.0707, 19.59598
228.5528, 16.74091
229.0350, 11.07477
229.5171, 8.513245
229.9992, 10.19016
230.4813, 10.97656
230.9634, 8.731171
231.4455, 0.4960630
231.9276, 2.316620
232.4098, 2.635864
232.8919, 12.36182
233.3740, 18.91830
233.8561, 20.23883
234.3382, 21.83078
234.8203, 27.03058
235.3025, 40.89349
235.7846, 47.70227
236.2667, 45.26923
236.7488, 35.55881
237.2309, 24.62415
237.7130, 10.42242
238.1952, 1.666992
238.6773, 8.867554
239.1594, 8.567017
239.6415, 9.180115
240.1236, 11.87979
240.6057, 15.40521
241.0879, 15.78864
241.5700, 11.38419
242.0521, 6.169586
242.5342, 2.063477
243.0163, 0.1499330
243.4984, 3.038849
243.9806, 7.420929
244.4627, 12.43680
244.9448, 15.21286
245.4269, 14.99765
245.9090, 13.53156
246.3911, 11.49100
246.8732, 8.309387
247.3554, 5.477844
247.8375, 1.349213
248.3196, 2.275452
248.8017, 1.640900
249.2838, 18.45621
249.7659, 34.97516
250.2481, 44.50372
250.7302, 44.68472
251.2123, 43.22473
251.6944, 39.67209
252.1765, 34.80862
252.6586, 31.25537
253.1408, 29.80511
253.6229, 28.50568
254.1050, 26.59244
254.5871, 24.76263
255.0692, 20.16916
255.5513, 9.879486
256.0334, 2.818481
256.5156, 6.230011
256.9977, 4.589325
257.4798, 16.72806
257.9619, 23.64621
258.4440, 24.76743
258.9261, 21.57471
259.4083, 10.56039
259.8904, 3.960938
260.3725, 6.501221
260.8546, 8.913116
261.3367, 25.43124
261.8188, 34.00833
262.3010, 32.57797
262.7831, 29.37347
263.2652, 23.33096
263.7473, 16.24634
264.2294, 14.41833
264.7115, 20.97629
265.1937, 26.23492
265.6758, 23.41190
266.1579, 8.946503
266.6400, 1.008575
267.1221, 2.671417
267.6042, 10.33969
268.0864, 13.49448
268.5685, 10.27002
269.0506, 7.322754
269.5327, 9.113525
270.0148, 17.37091
270.4969, 21.52414
270.9791, 19.85977
271.4612, 14.77847
271.9433, 12.75674
272.4254, 15.11530
272.9075, 16.24823
273.3896, 11.13351
273.8718, 2.073303
274.3539, 6.520569
274.8360, 1.040863
275.3181, 15.05045
275.8002, 23.21811
276.2823, 24.46317
276.7645, 24.62903
277.2466, 27.74588
277.7287, 34.43457
278.2108, 34.82632
278.6929, 26.25482
279.1750, 14.58206
279.6572, 12.86884
280.1393, 22.78146
280.6214, 30.61740
281.1035, 26.82184
281.5856, 11.52621
282.0677, 4.673950
282.5499, 8.681427
283.0320, 17.61343
283.5141, 21.89920
283.9962, 21.36142
284.4783, 19.26779
284.9604, 17.64795
285.4425, 16.22348
285.9247, 10.26270
286.4068, 1.959808
286.8889, 13.87195
287.3710, 14.46408
287.8531, 4.062073
288.3352, 7.118134
288.8174, 16.47968
289.2995, 23.35315
289.7816, 22.51801
290.2637, 12.73447
290.7458, 0.8262330
291.2279, 4.002838
291.7101, 2.553284
292.1922, 1.088745
292.6743, 4.194580
293.1564, 9.409943
293.6385, 8.569000
294.1206, 1.191376
294.6028, 8.954895
295.0849, 20.64990
295.5670, 32.59863
296.0491, 39.24356
296.5312, 34.85309
297.0133, 24.61322
297.4955, 17.81705
297.9776, 14.50760
298.4597, 13.78326
298.9418, 18.05743
299.4239, 25.08514
299.9060, 27.99738
300.3882, 18.94794
300.8703, 6.899780
301.3524, 7.853668
301.8345, 21.41525
302.3166, 34.51999
302.7987, 33.97372
303.2809, 25.70834
303.7630, 20.94431
304.2451, 26.45282
304.7272, 34.53885
305.2093, 35.45557
305.6914, 30.02945
306.1736, 25.77744
306.6557, 29.93710
307.1378, 38.10535
307.6199, 44.32303
308.1020, 45.83713
308.5841, 46.30237
309.0663, 50.84778
309.5484, 58.02045
310.0305, 60.36066
310.5126, 45.93298
310.9947, 27.95224
311.4768, 20.12839
311.9590, 29.45465
312.4411, 43.56073
312.9232, 58.17310
313.4053, 72.17346
313.8874, 81.56360
314.3695, 81.96176
314.8517, 79.30856
315.3337, 76.98541
315.8159, 74.91779
316.2980, 74.87213
316.7801, 78.16397
317.2622, 84.05649
317.7443, 90.72092
318.2264, 100.9807
318.7086, 109.8534
319.1907, 114.0589
319.6728, 112.6764
320.1549, 108.1735
320.6370, 96.24979
321.1191, 82.42007
321.6013, 75.53564
322.0834, 83.25781
322.5655, 93.56476
323.0476, 103.1954
323.5297, 112.8328
324.0118, 117.9191
324.4940, 111.8867
324.9761, 102.8271
325.4582, 100.4645
325.9403, 110.4919
326.4224, 122.7652
326.9045, 137.2294
327.3867, 155.4008
327.8688, 165.4914
328.3509, 160.7219
328.8330, 151.1252
329.3151, 145.3906
329.7972, 144.5434
330.2794, 146.3917
330.7615, 152.1288
331.2436, 161.7576
331.7257, 168.0242
332.2078, 170.6338
332.6899, 170.6541
333.1721, 167.3285
333.6542, 156.3643
334.1363, 150.8685
334.6184, 154.7933
335.1005, 165.7870
335.5826, 170.7723
336.0648, 167.6552
336.5469, 162.1070
337.0290, 157.4574
337.5111, 153.9970
337.9932, 150.2380
338.4753, 145.8420
338.9575, 141.1695
339.4396, 137.1102
339.9217, 132.9686
340.4038, 131.8477
340.8859, 137.5673
341.3680, 151.1523
341.8502, 158.4175
342.3323, 157.7577
342.8144, 152.2195
343.2965, 146.4874
343.7786, 140.4727
344.2607, 133.8227
344.7429, 125.7275
345.2250, 116.8565
345.7071, 107.6413
346.1892, 97.25177
346.6713, 88.18079
347.1534, 83.25061
347.6355, 82.32367
348.1176, 84.39545
348.5998, 91.82715
349.0819, 100.9565
349.5640, 103.5389
350.0461, 99.44965
350.5282, 92.96860
351.0103, 87.57739
351.4925, 83.07581
351.9746, 78.30756
352.4567, 71.09412
352.9388, 64.50562
353.4209, 63.70367
353.9030, 67.91498
354.3852, 71.93521
354.8673, 70.98083
355.3494, 68.13556
355.8315, 67.90002
356.3136, 73.32562
356.7957, 77.92874
357.2779, 76.55615
357.7600, 70.18921
358.2421, 61.79080
358.7242, 47.29950
359.2063, 34.72049
359.6884, 30.56772
360.1706, 37.03134
360.6527, 48.00650
361.1348, 67.17627
361.6169, 88.25586
362.0990, 100.7902
362.5811, 94.86292
363.0633, 83.56323
363.5454, 71.76434
364.0275, 59.35449
364.5096, 51.46600
364.9917, 54.16653
365.4738, 60.07553
365.9560, 61.64349
366.4381, 51.55161
366.9202, 43.29858
367.4023, 39.86124
367.8844, 41.26288
368.3665, 43.86157
368.8487, 50.45114
369.3308, 56.36237
369.8129, 58.47815
370.2950, 53.62555
370.7771, 49.59546
371.2592, 47.12283
371.7414, 45.96512
372.2235, 44.86005
372.7056, 43.49496
373.1877, 42.61276
373.6698, 42.49509
374.1519, 42.93423
374.6341, 44.32666
375.1162, 47.36789
375.5983, 50.98480
376.0804, 52.77902
376.5625, 52.20947
377.0446, 50.83029
377.5267, 49.46826
378.0089, 48.12704
378.4910, 45.16974
378.9731, 39.88177
379.4552, 34.94965
379.9373, 35.71295
380.4194, 42.08313
380.9016, 43.81366
381.3837, 34.90619
381.8658, 20.07697
382.3479, 14.56387
382.8300, 18.63071
383.3121, 25.75403
383.7943, 32.66638
384.2764, 38.43320
384.7585, 39.11179
385.2406, 31.95541
385.7227, 21.48059
386.2048, 11.40741
386.6870, 2.597321
387.1691, 0.7759700
387.6512, 8.628784
388.1333, 23.15891
388.6154, 33.29181
389.0975, 37.21149
389.5797, 38.26413
390.0618, 37.90320
390.5439, 36.61349
391.0260, 35.29807
391.5081, 37.07092
391.9902, 37.02542
392.4724, 29.58710
392.9545, 13.85394
393.4366, 2.478241
393.9187, 5.801453
394.4008, 14.14514
394.8829, 18.11108
395.3651, 6.090271
395.8472, 1.255890
396.3293, 7.616272
396.8114, 29.47089
397.2935, 40.62024
397.7756, 26.81897
398.2578, 8.239990
398.7399, 4.294098
399.2220, 6.131317
399.7041, 7.350861
400.1862, 8.174988
400.6683, 8.406677
401.1505, 7.625549
