PE IR       RAMAN       SPECTRUM    ASCII       PEDS        1.60        	
3254	0.998711
3253	1.005387
3252	0.992846
3251	0.980424
3250	0.980305
3249	0.980639
3248	0.982546
3247	1.007461
3246	1.049971
3245	1.073193
3244	1.06759
3243	1.063251
3242	1.073908
3241	1.082205
3240	1.085233
3239	1.100993
3238	1.126575
3237	1.140046
3236	1.142621
3235	1.151633
3234	1.164436
3233	1.171565
3232	1.187038
3231	1.221323
3230	1.250314
3229	1.251292
3228	1.242446
3227	1.251435
3226	1.272249
3225	1.284861
3224	1.290202
3223	1.299023
3222	1.30825
3221	1.309871
3220	1.307773
3219	1.312327
3218	1.326346
3217	1.343941
3216	1.357722
3215	1.364064
3214	1.362109
3213	1.350522
3212	1.331138
3211	1.313924
3210	1.310849
3209	1.321792
3208	1.335787
3207	1.344752
3206	1.347637
3205	1.344919
3204	1.340341
3203	1.340508
3202	1.341867
3201	1.330137
3200	1.306581
3199	1.29342
3198	1.297068
3197	1.294612
3196	1.276206
3195	1.263833
3194	1.266956
3193	1.26388
3192	1.246404
3191	1.234054
3190	1.227855
3189	1.203179
3188	1.160311
3187	1.129794
3186	1.119875
3185	1.109075
3184	1.092171
3183	1.08602
3182	1.090216
3181	1.087498
3180	1.076292
3179	1.066327
3178	1.052808
3177	1.028132
3176	1.003837
3175	0.992941
3174	0.985908
3173	0.969958
3172	0.952625
3171	0.944995
3170	0.940847
3169	0.929164
3168	0.910282
3167	0.88675
3166	0.85783
3165	0.831103
3164	0.819873
3163	0.821661
3162	0.816345
3161	0.791931
3160	0.760221
3159	0.742316
3158	0.744128
3157	0.751638
3156	0.749897
3155	0.74079
3154	0.733447
3153	0.726032
3152	0.712442
3151	0.698423
3150	0.690126
3149	0.679564
3148	0.661706
3147	0.649452
3146	0.648522
3145	0.641727
3144	0.621795
3143	0.608801
3142	0.611257
3141	0.605916
3140	0.58043
3139	0.556921
3138	0.552654
3137	0.556278
3136	0.558996
3135	0.568318
3134	0.5795
3133	0.574016
3132	0.554275
3131	0.541567
3130	0.538921
3129	0.53308
3128	0.526356
3127	0.528597
3126	0.528526
3125	0.511336
3124	0.491714
3123	0.49262
3122	0.506711
3121	0.510787
3120	0.501441
3119	0.48871
3118	0.473189
3117	0.454545
3116	0.442147
3115	0.438523
3114	0.431656
3113	0.41716
3112	0.40915
3111	0.417923
3110	0.43354
3109	0.439691
3108	0.432348
3107	0.41933
3106	0.408434
3105	0.400471
3104	0.393915
3103	0.389957
3102	0.388669
3101	0.383973
3100	0.374507
3099	0.372362
3098	0.384855
3097	0.396275
3096	0.389552
3095	0.372362
3094	0.359535
3093	0.347423
3092	0.331568
3091	0.325131
3090	0.334548
3089	0.342702
3088	0.341415
3087	0.347805
3086	0.367474
3085	0.378894
3084	0.373387
3083	0.370812
3082	0.3798
3081	0.385046
3080	0.383496
3079	0.388574
3078	0.393652
3077	0.37682
3076	0.344419
3075	0.326251
3074	0.329375
3073	0.336885
3072	0.344061
3071	0.357794
3070	0.37043
3069	0.370526
3068	0.366759
3067	0.371932
3066	0.378203
3065	0.372076
3064	0.359416
3063	0.355052
3062	0.361371
3061	0.371766
3060	0.382375
3059	0.389885
3058	0.388598
3057	0.377178
3056	0.363707
3055	0.35932
3054	0.367188
3053	0.3798
3052	0.388932
3051	0.395989
3050	0.40512
3049	0.410795
3048	0.405836
3047	0.397825
3046	0.399136
3045	0.40543
3044	0.405502
3043	0.403809
3042	0.411128
3041	0.423884
3040	0.435757
3039	0.453305
3038	0.474882
3037	0.480127
3036	0.463271
3035	0.45073
3034	0.459742
3033	0.472831
3032	0.473785
3031	0.474286
3030	0.483059
3029	0.488495
3028	0.487804
3027	0.497484
3026	0.521755
3025	0.545096
3024	0.563216
3023	0.587964
3022	0.621461
3021	0.654625
3020	0.694203
3019	0.754833
3018	0.83599
3017	0.924539
3016	1.02415
3015	1.149058
3014	1.307821
3013	1.505994
3012	1.753091
3011	2.058362
3010	2.413797
3009	2.815127
3008	3.268265
3007	3.781843
3006	4.338693
3005	4.896974
3004	5.41749
3003	5.889987
3002	6.319499
3001	6.675887
3000	6.874179
2999	6.811428
2998	6.451106
2997	5.863904
2996	5.21171
2995	4.663276
2994	4.323005
2993	4.201126
2992	4.265451
2991	4.491376
2990	4.889869
2989	5.471706
2988	6.236314
2987	7.146573
2986	8.112049
2985	8.981275
2984	9.581303
2983	9.778642
2982	9.499192
2981	8.77974
2980	7.785105
2979	6.767249
2978	5.898594
2977	5.209589
2976	4.648828
2975	4.191827
2974	3.848004
2973	3.642177
2972	3.607487
2971	3.769326
2970	4.109525
2969	4.570531
2968	5.100512
2967	5.674743
2966	6.293201
2965	6.97689
2964	7.771134
2963	8.69317
2962	9.69088
2961	10.626268
2960	11.336088
2959	11.681866
2958	11.604833
2957	11.136794
2956	10.396027
2955	9.549713
2954	8.753538
2953	8.109831
2952	7.652521
2951	7.397317
2950	7.357358
2949	7.541227
2948	7.913398
2947	8.399033
2946	8.889102
2945	9.265804
2944	9.430694
2943	9.34627
2942	9.041047
2941	8.592724
2940	8.101868
2939	7.671284
2938	7.367086
2937	7.198119
2936	7.13756
2935	7.16722
2934	7.284522
2933	7.486534
2932	7.770299
2931	8.132576
2930	8.559942
2929	8.999514
2928	9.384226
2927	9.651803
2926	9.772038
2925	9.760522
2924	9.702229
2923	9.719204
2922	9.897923
2921	10.239958
2920	10.678148
2919	11.094832
2918	11.336565
2917	11.260986
2916	10.815095
2915	10.062861
2914	9.137868
2913	8.177185
2912	7.283139
2911	6.511831
2910	5.873155
2909	5.348944
2908	4.913735
2907	4.550123
2906	4.25024
2905	4.016065
2904	3.846216
2903	3.728604
2902	3.64294
2901	3.57902
2900	3.548264
2899	3.565716
2898	3.637313
2897	3.740859
2896	3.850817
2895	3.946042
2894	4.02038
2893	4.06413
2892	4.07288
2891	4.059433
2890	4.049897
2889	4.055762
2888	4.074144
2887	4.108929
2886	4.172921
2885	4.264616
2884	4.369449
2883	4.477906
2882	4.582953
2881	4.66392
2880	4.704403
2879	4.711604
2878	4.702877
2877	4.678964
2876	4.636931
2875	4.584193
2874	4.525089
2873	4.444813
2872	4.332685
2871	4.199862
2870	4.064965
2869	3.93083
2868	3.791832
2867	3.645634
2866	3.493571
2865	3.335833
2864	3.175568
2863	3.017067
2862	2.861595
2861	2.70636
2860	2.551317
2859	2.404308
2858	2.276372
2857	2.169466
2856	2.073884
2855	1.980638
2854	1.89414
2853	1.821398
2852	1.757526
2851	1.689648
2850	1.616454
2849	1.54922
2848	1.498436
2847	1.45967
2846	1.419949
2845	1.3695
2844	1.313471
2843	1.266932
2842	1.240491
2841	1.226305
2840	1.207804
2839	1.178646
2838	1.147699
2837	1.122999
2836	1.103901
2835	1.087975
2834	1.074934
2833	1.061439
2832	1.04444
2831	1.029658
2830	1.024007
2829	1.022696
2828	1.016449
2827	1.008152
2826	1.006889
2825	1.011276
2824	1.010489
2823	0.998902
2822	0.979351
2821	0.957918
2820	0.941705
2819	0.937652
2818	0.945162
2817	0.953674
2816	0.951695
2815	0.937485
2814	0.918126
2813	0.901293
2812	0.889635
2811	0.881052
2810	0.873708
2809	0.87049
2808	0.877475
2807	0.894188
2806	0.908327
2805	0.906777
2804	0.889873
2803	0.867152
2802	0.842952
2801	0.816273
2800	0.790667
2799	0.774121
2798	0.769186
2797	0.772619
2796	0.781154
2795	0.79205
2794	0.799703
2793	0.797152
2792	0.783157
2791	0.765657
2790	0.75438
2789	0.748467
2788	0.737643
2787	0.718688
2786	0.700497
2785	0.688457
2784	0.67842
2783	0.668787
2782	0.663375
2781	0.65968
2780	0.651121
2779	0.642776
2778	0.64547
2777	0.655579
2776	0.658655
2775	0.652027
2774	0.645446
2773	0.642967
2772	0.642108
2771	0.645375
2770	0.65577
2769	0.667357
2768	0.67327
2767	0.676059
2766	0.678706
2765	0.677347
2764	0.671744
2763	0.670719
2762	0.677537
2761	0.681805
2760	0.674629
2759	0.662779
2758	0.6608
2757	0.673127
2756	0.689911
2755	0.699234
2754	0.699424
2753	0.697016
